ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5,u_sum_1,u_sum_2,t_sum_1,t_sum_2,s_sum_1
86061772,Мужчина,47,Санкт-Петербург,Высшее,20 + лет,5-10 лет,"Продажи, закупки;",До 50 человек,директор по развитию,100,100 000 — 150 000,Нет,16.452873871338426,17.29209895914377,20.559455569303807,13,11,7,13,9,7,19,18,12,15,18,5,11,25,26,20
86060760,Женщина,33,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,15-20 лет,5-10 лет,Другое,До 500 человек,ведущий экономист,70,60 000 — 100 000,Да,14.62763301031763,16.931030963557816,22.671346683164565,15,10,7,13,11,10,16,16,9,15,18,5,10,31,35,27
86060208,Мужчина,33,Москва,Среднее общее (11 классов),5-10 лет,5-10 лет,Другое,До 500 человек,Рабочий,80,60 000 — 100 000,Да,20.037827137354196,16.522755421362163,20.559455569303807,18,15,10,14,13,13,15,14,8,10,20,21,20,37,32,20
86058857,Мужчина,42,Москва,Высшее,20 + лет,1-3 года,"Продажи, закупки;",До 500 человек,директор по развитию,30,100 000 — 150 000,Да,14.62763301031763,19.96119756807456,17.977046034191055,17,18,12,16,11,9,11,18,9,13,14,9,11,21,31,14
86058331,Женщина,29,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,3-5 лет,Другое,До 500 человек,специалист по подтверждению отчетности,50,30 000 — 60 000,Да,19.11620865445565,19.96119756807456,22.671346683164565,16,14,6,12,8,10,14,14,10,12,18,10,13,26,28,21
86058133,Женщина,36,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,10-15 лет,Обслуживание;,До 1000 человек,диспетчер,100,0 — 15 000,Да,15.62763301031763,21.419617359903313,23.724274639529305,16,11,6,15,8,9,8,12,8,11,13,18,20,32,27,18
86056714,Женщина,51,Город с численностью от 50 тысяч до 100 тысяч,Высшее,20 + лет,10-15 лет,"Финансы, бухгалтерия, банки;",1000+ человек,главный менеджер,80,30 000 — 60 000,Нет,17.301224448294633,23.419617359903313,27.78323779702533,16,17,8,13,12,10,14,17,8,11,18,12,14,43,38,16
86055956,Мужчина,48,Город с численностью жителей миллион и более человек,Высшее,20 + лет,10-15 лет,Обслуживание;,До 50 человек,специалист,50,60 000 — 100 000,Да,12.783112557683385,19.051653811209412,26.200828261912577,20,16,11,16,9,7,4,9,10,10,14,7,19,47,31,11
86054892,Женщина,29,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,1-3 года,"Маркетинг, реклама, PR;",До 50 человек,фрилансер,100,100 000 — 150 000,Нет,21.598357768055855,24.20893854280128,23.253756218277317,24,18,12,20,10,10,18,16,13,15,25,5,5,30,32,28
86052106,Женщина,30,Москва,Неоконченное высшее,10-15 лет,10-15 лет,"Маркетинг, реклама, PR;",До 1000 человек,Переводчик,0,0 — 15 000,Нет,3.6569082525794077,13.09450223405015,12.023938789424509,16,9,7,8,5,6,7,18,10,12,8,25,24,37,28,5
