ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65976401,Мужчина,43,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,15-20 лет,Производство;,До 500 человек,Начальник участка,30,60 000 — 100 000,Нет,28.03690373615015,27.73081341026088,17.68269711326022,15,15,10,14,10,10,13,15,10,12,19
65976394,Мужчина,43,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,20 + лет,МЧС России,1000+ человек,Старший помощник начальника дежурной смены,100,60 000 — 100 000,Нет,30.501552714449367,33.455213871994616,19.632325808790558,14,12,4,12,8,8,4,10,3,13,19
65976275,Женщина,33,Город с численностью от 50 тысяч до 100 тысяч,Высшее,10-15 лет,5-10 лет,"Финансы, бухгалтерия, банки;",1000+ человек,кредитный аналитик,90,30 000 — 60 000,Нет,20.940072793160372,19.988418842352395,10.413853918053096,14,9,6,9,8,9,11,14,8,14,17
65976258,Мужчина,25,Город с численностью от 50 тысяч до 100 тысяч,Неоконченное высшее,3-5 лет,0-1 года,Производство;,До 50 человек,Машинист,40,30 000 — 60 000,Нет,27.866183061485685,28.58136050520882,16.023089863421827,19,11,8,13,10,7,17,20,13,15,23
65976226,Мужчина,40,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,15-20 лет,Производство;,До 50 человек,инженер,70,15 000 — 30 000,Да,22.728934933816664,24.747128432086956,15.827707836106192,15,15,8,13,10,6,5,9,9,14,16
65976201,Мужчина,48,Поселок городского типа,Неоконченное высшее,5-10 лет,0-1 года,Обслуживание;,До 50 человек,рабочий,50,15 000 — 30 000,Да,21.786823367463835,22.991118436497008,14.023089863421827,21,19,10,17,12,14,15,15,9,12,19
65976089,Мужчина,37,Город с численностью жителей миллион и более человек,Неоконченное высшее,10-15 лет,3-5 лет,Обслуживание;,До 500 человек,Начальник отдела,50,60 000 — 100 000,Нет,29.66353776462987,33.455213871994616,14.978821749515188,10,11,4,10,9,9,20,19,13,14,23
65976054,Женщина,46,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,10-15 лет,"Финансы, бухгалтерия, банки;",До 1000 человек,Бухгалтер,100,30 000 — 60 000,Нет,28.13569547846871,28.45521387199462,19.632325808790558,12,16,10,19,12,9,12,11,10,12,17
65975743,Женщина,38,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),15-20 лет,5-10 лет,"Продажи, закупки;",До 50 человек,риэлтор,-1,15 000 — 30 000,Да,18.8949979692676,25.022436468142583,2.8046179726843654,12,11,7,11,8,11,4,6,3,10,19
65975733,Мужчина,51,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,20 + лет,10-15 лет,Образование;,До 500 человек,Руководитель подразделения,70,100 000 — 150 000,Нет,23.318096403894184,29.64428807071061,18.632325808790558,14,17,7,20,7,10,20,18,10,13,15
65975279,Женщина,32,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,5-10 лет,Торговля;,1000+ человек,оператор,100,30 000 — 60 000,Нет,26.9822029907761,27.769084906852505,15.878079140575856,20,15,10,15,10,12,20,18,10,15,25
65975098,Женщина,37,Город с численностью менее 50 тысяч,Среднее общее (11 классов),10-15 лет,0-1 года,"Продажи, закупки;",До 50 человек,продавец,25,15 000 — 30 000,Затрудняюсь ответить,21.67423418844261,21.04468444511876,10.36348261358343,11,12,4,12,10,10,11,15,11,9,16
65975018,Женщина,35,Москва,Высшее,15-20 лет,15-20 лет,Медицина;,1000+ человек,руководитель,75,150 000 — 200 000,Нет,30.501552714449367,31.600375121179514,17.73306841772989,18,16,9,15,8,8,16,18,15,15,23
65974993,Мужчина,52,Санкт-Петербург,Неоконченное высшее,15-20 лет,5-10 лет,инженерия,До 500 человек,электромеханик,69,30 000 — 60 000,Да,25.35556896229638,22.12662662659124,12.168100586267796,19,14,8,13,11,11,8,14,7,12,20
65974803,Женщина,37,Москва,Высшее,15-20 лет,0-1 года,"Финансы, бухгалтерия, банки;",До 500 человек,менеджер,100,30 000 — 60 000,Нет,22.8821843595132,23.89658133713901,14.972718558952163,20,12,9,14,8,8,18,15,11,11,22
65974778,Мужчина,42,Город с численностью жителей миллион и более человек,Высшее,20 + лет,3-5 лет,Торговля;,До 50 человек,руководитель отдела,100,30 000 — 60 000,Нет,30.501552714449367,33.455213871994616,16.11772928179813,24,20,12,20,15,13,20,19,15,15,25
